Product,GHG (kgCO2e per £),Code
Home help,0.43200000000000005,12.3.1.2
"Nursery, creche, playschools",0.43200000000000005,12.3.1.3
Child care payments,0.43200000000000005,12.3.1.4
Structure insurance,0.14300000000000002,12.4.1.1
Contents insurance,0.14300000000000002,12.4.1.2
Insurance for household items,0.14300000000000002,12.4.1.3
Medical insurance premiums,0.14300000000000002,12.4.2
Vehicle insurance,0.14300000000000002,12.4.3.1
Boat insurance,0.14300000000000002,12.4.3.2
"Non package holiday, other travel insurance",0.14300000000000002,12.4.4
Moving and storage of furniture,0.011000000000000001,12.5.1.1
Property transaction - purchase and sale,0.011000000000000001,12.5.1.2
Property transaction - sale only,0.011000000000000001,12.5.1.3
Property transaction - purchase only,0.011000000000000001,12.5.1.4
Property transaction - other payments,0.011000000000000001,12.5.1.5
Bank building society fees,0.001,12.5.2.1
Bank and post office counter charges,0.001,12.5.2.2
Credit card fees,-0.0,12.5.2.3
Other professional fees,2.792,12.5.3.1
Legal fees,2.792,12.5.3.2
Funeral expenses,2.792,12.5.3.3
TU and professional organisations,2.792,12.5.3.4
Other payments for services,2.792,12.5.3.5
